title,description,event_link,price,display_photo,photos,time_zone,hosts,sponsors,address_line_1,city,province_state,postal_zip_code,country,lat,lng,contact_email,contact_website,contact_primary_phone,time_slots
GHOULS GONE WILD: Halloween at GRETA YEG,,https://www.showpass.com/ghoulsgonewild/,$15.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/d0d773de-3f6.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/d0d773de-3f6.png""]",America/Edmonton,,,,Edmonton,Alberta,,Canada,,,,,,"[""October 31, 2025, 10:00 PM MDT""]"
Paint & Sip,,https://www.showpass.com/paint_and_sip_gretayyc/,$15 - $25 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/36797a5d-45b.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hudsons-canadas-pub-2/img-banner/36797a5d-45b.png""]",America/Edmonton,,,,Calgary,Alberta,,Canada,,,,,,"[""October 23, 2025, 7:00 PM MDT""]"
Daft Disko: Halloween,"Orlove by Night & Hollywood Theatre Presents DAFT DISKO: Halloween. A French House & Disco Party. A party inspired by the music of Daft Punk, Stardust, Breakbot, Justice, Cassius, Uffie, Giorgio Moroder, Chic, Yuksek, Modjo, Phoenix, Mr. Oizo, Modjo, Purple Disco Machine, Soulwax, Etienne De Crecy, Kavinsky, Fred Falke, Boston Bun, Le Knight Club, Armand Van Helden, DJ Falcon, Vitalic, Alex Gopher, DJ Mehdi, Mylo, Boys Noize, The Bucketheads, Parcels, Dimitri From Paris, Duck Sauce & Many More.",https://www.showpass.com/daft-disko-halloween/,$29.96 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hollywood-theatre/img-banner/3e7b797a-ade.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/hollywood-theatre/img-banner/3e7b797a-ade.png""]",PDT,"[""Orlove by Night"", ""Hollywood Theatre""]",,3123 W Broadway,Vancouver,British Columbia,,Canada,,,orlove@weareorlove.com,,,"[""October 24, 2025, 9:00 PM PDT""]"
Twisted HALLOWEEN 2025 Friday Oct.31,"Twisted Element presents: HALLOWEEN 2025 Friday Oct. 31 Featuring SATANNA (Boulet Brothers) NEARAH NUFF (Canada's Drag Race) DJ KIKE COSTA and DJ ANTHEM. Doors open at 8 p.m. | Show starts at 9:30 p.m. 2 LEVELS & 2 DANCEFLOORS until 3 a.m. HALLOWEEEN WEEKEND ALL ACCESS VIP PASSES AVAILABLE SEPARATELY. Get ready for Calgary's biggest Halloween bash of the year! Twisted Element is turning up the heat with a night full of scary thrills, killer beats, and fabulous costumes. This is THE party you don’t want to miss!",https://www.showpass.com/twisted-halloween-2025-friday-oct-31/,$16.82 - $22.12 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/twisted-element/img-banner/3d9824a9-83d.png,"[""https://doavub8d2uzrx.cloudfront.net/media/files/temp/7adc00e7-e53e-46e7-b4ab-b9cb5a4a7d67/9deb34d2-2f7.png""]",America/Edmonton,"[""Twisted Element""]",,1006 11 Ave SW,Calgary,Alberta,,Canada,,,,https://www.showpass.com/o/twisted-element/,,"[""October 31, 2025, 9:30 PM MDT""]"
HALLOWEEN WEEKEND ALL ACCESS VIP PASS,HALLOWEEN WEEKEND ALL ACCESS VIP PASS. Attend both major Halloween nights and unlock all the scary and epic fun.,https://www.showpass.com/halloween-weekend-all-access-vip-pass/,$50.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/twisted-element/img-banner/e6439bcd-18e.png,[],America/Edmonton,"[""Twisted Element""]",,,Calgary,Alberta,,Canada,,,,https://www.showpass.com/o/twisted-element/,,"[""October 31 - November 2, 2025, 9:30 PM MDT""]"
FRIDAYS WITH BENEFITS,FRIDAYS WITH BENEFITS. Enjoy a night of fun and entertainment.,https://www.showpass.com/fridays-with-benefits-61/,$10 - $15 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/twisted-element/img-banner/c9938084-3b7.png,[],America/Edmonton,"[""Twisted Element""]",,,Calgary,Alberta,,Canada,,,,https://www.showpass.com/o/twisted-element/,,"[""October 24, 2025, 9:30 PM MDT""]"
SPECTACULAR SATURDAYS,SPECTACULAR SATURDAYS. Join us for a spectacular night of entertainment.,https://www.showpass.com/spectacular-saturdays-117/,$10 - $15 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/twisted-element/img-banner/b6803f33-5db.png,[],America/Edmonton,"[""Twisted Element""]",,,Calgary,Alberta,,Canada,,,,https://www.showpass.com/o/twisted-element/,,"[""October 25, 2025, 9:30 PM MDT""]"
Twisted Night of the Living Dead Sat. Nov.1,Twisted Night of the Living Dead Sat. Nov.1. Experience a night of thrilling entertainment.,https://www.showpass.com/twisted-night-of-the-living-dead-sat-nov1/,$15 - $20 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/twisted-element/img-banner/0fdea8cb-448.png,[],America/Edmonton,"[""Twisted Element""]",,,Calgary,Alberta,,Canada,,,,https://www.showpass.com/o/twisted-element/,,"[""November 1, 2025, 9:30 PM MDT""]"
THE SCOOBY DOO RAVE,"Get ready to unmask the mystery and dance the night away at Yas Halifax’s The Scooby Doo Rave! Join the gang on Saturday, October 25 at The Marquee Ballroom (2037 Gottingen). Doors open at 10PM and the spooky, dancing goes all night long with Fawn Big Canoe. Hosted by Zara Matrix, with killer performances from Mya Foxx, Dahlia Dior, Racheal Lush, Bambi Shot, and Crystal Queer. Tickets: Early Bird: $12 (limited) / Advance: $16 / Day of: $25 (online and at the door). So grab your scooby snacks glow sticks, channel your inner Mystery Inc., and get ready for a night of music, mystery, and mayhem. Zoinks!! you don’t want to miss this one SCOOB!",https://www.showpass.com/o/2037-gottingen/,$13.42 - $25.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/4db5a38b-644.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/4db5a38b-644.png""]",America/Halifax,"[""YAS! HALIFAX""]",,2037 Gottingen St,Halifax,Nova Scotia,,Canada,,,,,,"[""October 25, 2025, 10:00 PM ADT - 2:00 AM ADT""]"
EAST COAST EMO NIGHT: EMOGEDDON,,https://www.showpass.com/east-coast-emo-night-emogeddon/,$20.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/95603380-d02.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/95603380-d02.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""November 8, 2025, 9:00 PM AST""]"
𝐃𝐀𝐑𝐊 𝐑𝐎𝐎𝐌,,https://www.showpass.com/darkroomhal2/,$10.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/ca1afe69-25e.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/ca1afe69-25e.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""November 1, 2025, 10:00 PM ADT""]"
ARSONISTE,,https://www.showpass.com/arsoniste/,$15.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/d7acfcea-1d8.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/d7acfcea-1d8.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""October 28, 2025, 7:30 PM ADT""]"
DANCING QUEEN HALLOWEEN,,https://www.showpass.com/dancing-queen-halloween/,$25.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/afc21e41-b1d.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/afc21e41-b1d.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""October 31, 2025, 8:30 PM ADT""]"
JESSE ROPER,,https://www.showpass.com/jesse-roper-3/,$15.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/0e700a7d-3e7.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/0e700a7d-3e7.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""October 23, 2025, 8:30 PM ADT""]"
DUSTED & JON SAMUEL,,https://www.showpass.com/dusted-jon-samuel/,$12.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/1dd8f32b-007.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/1dd8f32b-007.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""November 7, 2025, 8:00 PM AST""]"
GET THE FUNK OUT HALLOWEEN,,https://www.showpass.com/get-the-funk-out-halloween/,$10 - $15 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/7c1c2b85-c73.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/7c1c2b85-c73.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""October 31, 2025, 10:00 PM ADT""]"
BLEU NUIT,,https://www.showpass.com/bleu-nuit-2/,$10 - $15 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/ca1fe3c7-890.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/ca1fe3c7-890.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""October 24, 2025, 9:00 PM ADT""]"
BLINK 902,,https://www.showpass.com/blink-902-2/,$22.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/cb643447-d61.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/cb643447-d61.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""November 29, 2025, 9:30 PM AST""]"
THREEZER,,https://www.showpass.com/threezer/,$20.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/439593f5-e28.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/439593f5-e28.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""December 6, 2025, 8:30 PM AST""]"
TWO HOURS TRAFFIC,,https://www.showpass.com/two-hours-traffic/,$25.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/7540f232-d01.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/7540f232-d01.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""November 15, 2025, 8:30 PM AST""]"
CONCERT FOR SOCKS,,https://www.showpass.com/concert-for-socks/,$19.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/d6772635-8ae.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/d6772635-8ae.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""November 21, 2025, 8:00 PM AST""]"
Dan Mangan,,https://www.showpass.com/danmangan-night1/,$35.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/8f84d36c-6f2.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/2037-gottingen/img-banner/8f84d36c-6f2.png""]",America/Halifax,,,,Halifax,Nova Scotia,,Canada,,,,,,"[""January 23, 2026, 7:00 PM AST""]"
"2025 Stuart Air Show - Spectator Seating, Tables. & Photo Pit","The Stuart Air Show is a 501 (C) (3) non-profit organization. For more than 35 years, it has been dedicated to honoring the history of American aviation and veterans. Each year the air show attracts tens of thousands of attendees and partners with schools and children's service agencies to offer STEM and other educational opportunities to hundreds of school-age children. The Stuart Air Show also partners with non-profits such as EAA Chapter 692, Southeast Florida Honor Flight, and the U.S. Naval Sea Cadet Corps as well as providing fundraising opportunities for dozens of other Martin and St. Lucie County-based charities.",https://www.showpass.com/o/stuart-air-show/,$34.99 - $80.26 USD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/stuart-air-show/img-banner/626bfc30-875.png,,EST,"[""Stuart Air Show""]","[""EAA Chapter 692"", ""Southeast Florida Honor Flight"", ""U.S. Naval Sea Cadet Corps""]",1895 SE Flying Fortress Lane,Stuart,,,,,,,https://www.stuartairshow.com/community-impact,,"[""November 7, 2025, 5:00 PM EST"", ""November 9, 2025, 5:30 PM EST""]"
Little Women,"Pankow Performing Arts presents! Louisa May Alcott's LITTLE WOMEN, adapted by Marian De Forest and Pankow Performing Arts. Originally produced on the Broadway stage by Jessie Bonstelle. Note - Seating is LIMITED to 140 seats per Performance.",https://www.showpass.com/o/john-r-armstrong-performing-arts-center/,$10.29 - $14.41 USD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/john-r-armstrong-performing-arts-center/img-banner/a0156c35-6b0.png,,America/New_York,"[""Pankow Performing Arts""]","[""Jessie Bonstelle""]",24600 Frederick Pankow Blvd,Clinton Township,Michigan,,USA,,,,https://www.showpass.com/o/john-r-armstrong-performing-arts-center/,,"[""Thursday Oct 23rd, 2025 @ 7:00 PM EDT"", ""Saturday Oct 25th, 2025 @ 5:00 PM EDT""]"
'Twas The Night Before Christmas 2025,Professionally staged Ballet production based on the classic poem by Clement Clarke Moore; featuring dancers from the Edmonton Festival Ballet and Edmonton Contemporary Dancers.,https://www.showpass.com/o/the-orange-hub-theatres-managed-by-grindstone-theatre-society/,$0.00 - $34.92 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/513376ec-ecc.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/513376ec-ecc.png""]",MST,"[""The Orange Hub Theatres - Managed by Grindstone Theatre Society""]",,10045 156 St NW,Edmonton,Alberta,,Canada,,,,,,"[""Thursday Nov 20th, 2025 @ 6:30 PM MST"", ""Saturday Nov 22nd, 2025 @ 8:10 PM MST""]"
Ahmed Amin,Ahmed Amin event in Edmonton.,https://www.showpass.com/ahmed-amin/,$45 - $80 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/df328863-dcf.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/df328863-dcf.png""]",MDT,,,,Edmonton,Alberta,,Canada,,,,,,"[""Oct 22 2025, 8:00 PM MDT""]"
Mantra Movement: Student Choreography Showcase,Mantra Movement: Student Choreography Showcase event in Edmonton.,https://www.showpass.com/mantra-movement-student-choreography-showcase/,$27.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/c4bce35e-205.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/c4bce35e-205.png""]",MDT,,,,Edmonton,Alberta,,Canada,,,,,,"[""Oct 24 2025, 8:00 PM MDT""]"
"Thet Tumchya Gharatun"" (थेट तुमच्या घरातून)","Thet Tumchya Gharatun"" (थेट तुमच्या घरातून) event in Edmonton.",https://www.showpass.com/thet-tumchya-gharatun/,$20 - $70 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/e6a74c7b-604.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/e6a74c7b-604.png""]",MDT,,,,Edmonton,Alberta,,Canada,,,,,,"[""Oct 26 2025, 4:30 PM MDT""]"
Colour Me Bastos!,Colour Me Bastos! event in Edmonton.,https://www.showpass.com/colour-me-bastos/,$22.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/14ee8747-234.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/14ee8747-234.png""]",MDT,,,,Edmonton,Alberta,,Canada,,,,,,"[""Oct 25 2025, 7:00 PM MDT""]"
"Gauri B Live in Edmonton: Love, Money, Shame","Gauri B Live in Edmonton: Love, Money, Shame event in Edmonton.",https://www.showpass.com/gauri-b-live-in-edmonton-love-money-shame/,$37 - $48 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/30d21a6f-f32.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/30d21a6f-f32.png""]",MST,,,,Edmonton,Alberta,,Canada,,,,,,"[""Dec 11 2025, 8:00 PM MST""]"
Colour Me Comedy Festival presents STERLING SCOTT,Colour Me Comedy Festival presents STERLING SCOTT event in Edmonton.,https://www.showpass.com/colour-me-comedy-festival-presents-sterling-scott/,$22.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/657d083e-f1d.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/657d083e-f1d.png""]",MDT,,,,Edmonton,Alberta,,Canada,,,,,,"[""Oct 25 2025, 9:00 PM MDT""]"
Colour Me Herlarious!,Colour Me Herlarious! event in Edmonton.,https://www.showpass.com/colour-me-herlarious/,$22.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/0be6d9c2-d15.png,"[""https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/the-orange-hub-theatres-managed-by-grindstone-theatre-society/img-banner/0be6d9c2-d15.png""]",MDT,,,,Edmonton,Alberta,,Canada,,,,,,"[""Oct 23 2025, 7:00 PM MDT""]"
Mathew Good & I Mother Earth,"Mathew Good and his band Return to Bonnyville with I Mother Earth on their Canadian tour October 30th at the Bonnyville Strathcona Performing Arts Centre! Get your tickets NOW! I Mother Earth are a Tripple Platinum JUNO nominated Rock act who have been at the top of the Canadian Rock scene for over 30 years with hits like ""One More Astronaut"" ""Raspberry"" and ""So Gently we Go"" The band along with original singer Edwin will be bringing the hits alongside Mathew Good and his band! Mathew Good and his band return with his multi platinum JUNO award winning hits like ""Hello Time bomb"" ""Load me Up"" & ""Strange Days""",https://www.showpass.com/o/bonnyville-performing-arts-centre/,$64.92 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/bonnyville-performing-arts-centre/img-banner/8f57c141-fe2.png,,MDT,,,4808 49 St,Bonnyville,,,,,,,,,"[""October 30, 2025, 7:00 PM MDT""]"
Theatre: Richard O'Brien's The Rocky Horror Show,"Richard O'Brien's The Rocky Horror Show

Book, Music and Lyrics by Richard O’Brien

Directed by Richard Edmonson

""In this cult classic, sweethearts Brad and Janet, stuck with a flat tire during a storm, discover the eerie mansion of Dr. Frank-N-Furter. As their innocence is lost, Brad and Janet meet a houseful of wild characters, including a rocking biker and a creepy butler. Through elaborate dances and rock songs, Frank-N-Furter unveils his latest creation: a muscular man named 'Rocky.'""

Genre: Musical, Dark Comedy

*Advised for ages 18+ (no children under 16 permitted even with adult supervision)*

This musical production contains the following mature themes:

Contains strong language, dark humor, suggestive sexual content and adult themes

*Costume participation is strongly encouraged!!*

Costume Guidelines:

- No Weapons or Replicas.
- No Offensive Themes or Explicit Nudity
- No Large or Bulky Costumes
- No Full Face Coverings

Bag checks may be conducted at the entrance.

Anyone not in compliance with these guidelines may be asked to modify their costume or may be refused entry.",https://www.showpass.com/theatre-richard-obriens-the-rocky-horror-show-3/,$10.00 - $20.00 USD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/utrgv-arts/img-banner/1b006b91-cec.png,,America/Chicago,"[""UTRGV ARTS""]",,UTRGV Albert L. Jeffers Theatre,Edinburg,,,,,,theatreboxoffice@utrgv.edu,https://www.showpass.com/o/utrgv-arts/,956-665-3581,"[""October 23, 2025, 7:30 PM CDT"", ""October 24, 2025, 7:30 PM CDT"", ""October 25, 2025, 7:30 PM CDT"", ""October 26, 2025, 2:00 PM CDT"", ""October 31, 2025, 10:00 PM CDT""]"
"Music: Juan Pablo Andrade, piano",,https://www.showpass.com/music-juan-pablo-andrade-piano/,$0.00 USD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/utrgv-arts/images/4c285f8e-dfc.png,,America/Chicago,"[""UTRGV ARTS""]",,,Brownsville,,,,,,,,,"[""February 6, 2026, 7:00 PM CST""]"
Music: Percussion Ensemble Concert - Brownsville,,https://www.showpass.com/music-percussion-ensemble-concert-brownsville-3/,$0.00 USD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/utrgv-arts/img-banner/df33aa8f-f42.png,,America/Chicago,"[""UTRGV ARTS""]",,,Brownsville,,,,,,,,,"[""November 24, 2025, 7:00 PM CST""]"
"Music: ""Revueltas - La Noche de los Mayas"" UTRGV Symphony Orchestra",,https://www.showpass.com/music-revueltas-la-noche-de-los-mayas-utrgv-symphony-orchestra/,$10.00 USD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/utrgv-arts/img-banner/f54902ed-1bf.png,,America/Chicago,"[""UTRGV ARTS""]",,,Edinburg,,,,,,,,,"[""February 25, 2026, 7:00 PM CST""]"
Music: Piano Area Recital - Brownsville,,https://www.showpass.com/music-piano-area-recital-brownsville/,Free,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/utrgv-arts/img-banner/97ed9a12-33b.png,,America/Chicago,"[""UTRGV ARTS""]",,,Brownsville,,,,,,,,,"[""November 16, 2025, 3:00 PM CST""]"
Irish Descendants Christmas,"From the shores of Newfoundland & Labrador, the Irish Descendants have captured the sounds and vibe of their province’s culture in their music and delivered it to audiences around the world. Featuring the quartet of Con O'Brien (guitar/vocals), Rowan Sherlock (fiddle, mandolin, piano, vocals), Madeline Carter (fiddle, vocals), and Jeff Kinsman (bass, vocals), the folk group from St. John’s has put their province on the map with albums Look to the Sea and Gypsies and Lovers going certified Gold upon release. For two nights only on November 28 and 29, they’ll bring their musical talents to Fort McMurray, sharing music to get you into the Christmas spirit with a taste of back home.",https://www.showpass.com/o/keyano-theatre/,$45.00 - $50.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/keyano-theatre/img-banner/8db66b97-d52.png,,MST,"[""Keyano Theatre""]",,8115 Franklin Ave,Fort McMurray,,,,,,boxoffice@keyano.ca,https://www.keyano.ca/en/theatre/your-comfort.aspx,780-791-4990,"[""Friday, November 28, 2025 at 7:30 PM"", ""Saturday, November 29, 2025 at 7:30 PM""]"
The Barra MacNeils: An East Coast Christmas,"The Barra MacNeils - An East Coast Christmas is a musical potpourri of traditional MacNeil family favourites gleaned from Christmas ceilidhs, midnight masses and the general festive frolic that accompanies each holiday season. With their captivating vocals, distinctive harmonies and extraordinary musicianship, The Barra MacNeils inject new life and energy into the sights and sounds of Christmas, prompting the Halifax Daily News to describe them as “a treasure of the East Coast, rich with tradition and unmatched in ensemble performance”; and the Globe & Mail to name the recording on which this tour is based “one of the best five Christmas albums of all time!” The five MacNeil siblings - Lucy, Boyd, Stewart, Kyle and Sheumas - combine on a vast array of instruments including accordian, guitar, piano, fiddle, bodhran, mandolin, banjo, Celtic harp, tin whistles, bouzouki, flute … all underpinned by the nimble-fingered Jamie Gatti on bass. The result is a sound that is unmistakably The Barra MacNeils, one moment a rousing chorus, then a hauntingly beautiful Gaelic ballad, the next a flurry of foot-stomping instrumentals, which of course pulls one then another into a step-dancing revelry. For a delightful seasonal celebration, don’t miss An East Coast Christmas with The Barra MacNeils!",https://www.showpass.com/,$79.00 CAD,https://dcm1eeuyachdi.cloudfront.net/fit-in/3840x3840/filters:quality(100):format(webp)/media/images/events/brockville-arts-centre/img-banner/1e4586c5-084.png,"[""https://www.youtube.com/channel/UCqzywAyLmIJyWAiwjTDJFmw?embeds_referring_euri=https%3A%2F%2Fwww.showpass.com%2F""]",America/Toronto,"[""Shantero Productions""]",,235 King St W,Brockville,Ontario,,Canada,,,,https://www.showpass.com/o/brockville-arts-centre/,,"[""December 16, 2025, 7:30 PM EST""]"
